Product Name,Original Price (in Rs.),Discount Percentage,Final Price (in Rs.),Ratings,Total Ratings count
Dell 14 Laptop,"57,778",39%,"34,990",3.8,499
Dell 15 Laptop,"51,254",22%,"39,990",4.3,19
Dell Inspiron 3530 Laptop,"87,262",30%,"60,990",3.7,68
HP Laptop 15s,"56,261",33%,"37,699",4,755
"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg)","42,032",52%,"19,990",3.8,255
Dell 14 Laptop,"57,778",39%,"34,990",3.8,499
TECNO MEGABOOK T1,"49,999",52%,"23,990",4,769
Apple MacBook Air Laptop M1 chip,"89,900",18%,"73,990",4.7,"6,884"
"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16 GB RAM/512 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics)","89,999",78%,"19,729",4.3,139
"Lenovo V15 AMD Ryzen 3 7320U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Arctic Grey/1.65 Kg)","89,765",70%,"26,750",3.7,23
HP Laptop 15s,"47,999",33%,"32,191",4.1,"1,305"
ASUS VivoBook 15 (2021),"33,990",36%,"21,789",3.9,"1,434"
Chuwi FreeBook 13.5 Inch 2 in 1 Touchscreen Laptop,"49,990",24%,"37,990",3.7,129
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch IPS Touchscreen WUXGA/16GB/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO)SFG14-73T,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch OLED WQXGA+/16GB LPDDR5x/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO) SFG14-73,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM,"34,990",51%,"16,990",3.9,"3,959"
ASUS Vivobook 15,"60,990",30%,"42,990",4,570
"Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/3months Game Pass/Arctic Grey/1.63Kg)","58,890",40%,"35,460",4.1,229
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Backlit Keyboard/1Yr Warranty + 1 Yr ADP/Grey/1.6Kg)","68,990",48%,"35,630",4.1,"1,733"
HP Laptop 15,"50,297",29%,"35,849",3.9,221
"Samsung Galaxy Book2 (NP750) Intel 12th Gen core i5 39.6cm (15.6"") FHD Thin & Light Laptop (8 GB/512 GB/Windows 11/MS Office/Backlit Keyboard/Finger Print Reader/Silver/1.55Kg)","83,990",40%,"49,990",4.1,210
ASUS TUF Gaming F15,"80,990",35%,"52,990",3.9,239
Dell 14 Laptop,"57,635",32%,"38,990",4.3,19
HP 15s,"59,109",26%,"43,490",4,531
MSI GF63 Thin,"78,990",46%,"42,990",4.2,256
HP Laptop 15s,"54,552",30%,"38,299",4.1,911
Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 15.6 inch (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/3months Game Pass/Arctic Grey/1.63Kg),"58,890",41%,"34,990",4.1,852
"Lenovo Yoga Slim 6 12th Gen Intel Evo Core i5 1240P 14""(35.5cm) 2.2K 300Nit Laptop (16GB/512GB SSD/60Hz Refresh/Win 11/Office 21/Backlit KB/1Yr Warranty/Alexa/3 Month Game Pass/Grey/1.3Kg)","78,590",19%,"63,450",4.1,213
HP 15s,"60,599",26%,"44,999",4.1,276
HP Pavilion 14,"78,294",20%,"62,490",4.2,676
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13420H 14"" (35.5cm) WUXGA OLED 400Nits Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Grey/1.46Kg)","94,590",26%,"70,190",3.9,14
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13500H 16""(40.6cm) WUXGA IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.89Kg)","1,05,190",32%,"71,690",4.1,25
"Lenovo LOQ 12th Gen Intel Core i5-12450HX 15.6"" (39.6cm) 144Hz 300Nits FHD Gaming Laptop (16GB/512GB SSD/Win 11/NVDIA RTX 3050 6GB Graphics/100% sRGB/Office 21/3 Mon Game Pass/Grey/2.4Kg)","95,890",27%,"69,990",No Ratings,No Ratings
Dell 14 Laptop,"57,778",39%,"34,990",3.8,499
Dell 15 Laptop,"51,254",22%,"39,990",4.3,19
Dell Inspiron 3530 Laptop,"87,262",30%,"60,990",3.7,68
HP Laptop 15,"54,552",25%,"41,050",4.1,"1,846"
"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics)","49,999",68%,"15,799",3.9,101
Acer Aspire Lite AMD Ryzen 5 5500U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41,"59,990",38%,"36,990",3.9,384
